CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9234002,2021,2021-04-16,2406,2021-02-20,1650,256,2,6,5,5,2406,0,0,0,,0,020,"E YOSEMITE AVE","PARSONS AV",20.00,W,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,03,22350,,N,C,A,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.45102691650391,37.332141876220703
9269306,2021,2021-05-27,2406,2021-05-14,0655,277,2,5,5,5,2406,0,0,0,,0,021,"M ST","WEST 25TH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.48028564453125,37.309951782226562
9269601,2021,2021-06-03,2406,2021-04-21,1404,129,SOUTH,3,5,5,2406,0,0,0,,0,031,"WEST CHILDS AV","M ST",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,2,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.49272918701172,37.288249969482422
9387976,2021,2022-01-25,2406,2021-12-17,1737,309,NORTH,5,5,5,2406,0,0,0,,0,011,"R ST","OLIVEWOOD DR",48.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.48670959472656,37.317890167236328
91407967,2021,2021-02-12,9461,2021-02-07,1725,020486,,7,2,9,2400,0,3,5,,2,010,"DIRT CANAL ROAD","PRINCE ROAD",528.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",37.259910583496094,-121.02040100097656,MERCED,UNINCORPORATED,,
91418447,2021,2021-03-02,9460,2021-02-20,2210,021511,,6,3,9,2400,0,1,3,,2,002,"SR-99 N/B","BUHACH RD",1700.00,N,N,A,-,Y,,,99,,,,,,N,Y,3,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",37.335880279541016,-120.58167266845703,MERCED,UNINCORPORATED,-120.58165740966797,37.335914611816406
91420939,2021,2021-03-04,9460,2021-02-28,1605,020822,,7,2,9,2400,0,3,5,,2,010,"COLUMBUS AVE","AUGUST AVE",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.418861389160156,-120.86817169189453,MERCED,UNINCORPORATED,-120.86817169189453,37.41888427734375
91457899,2021,2021-04-26,9460,2021-04-17,0030,021320,,6,3,9,2400,0,3,5,,2,050,"SNELLING ROAD","YOUD RD",10032.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",37.452640533447266,-120.43383026123047,MERCED,UNINCORPORATED,,
91500317,2021,2021-06-18,9460,2021-06-08,1525,018951,,2,2,9,2400,0,1,3,,1,590,"STATE ROUTE 59","OAKDALE ROAD",0.00,,Y,A,-,Y,,,59,,,,,,,Y,3,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,Y,Y,,D,22,0,2,0,0,0,0,0,0,0,"- ","- ",37.417411804199219,-120.51310729980469,MERCED,UNINCORPORATED,-120.51296997070312,37.417488098144531
91562675,2021,2021-09-06,9460,2021-08-24,1852,020099,,2,2,5,2406,0,1,3,,2,003,"SR-99 N/B","CHILDS AVE.",400.00,S,N,A,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.285160064697266,-120.46340179443359,MERCED,MERCED,-120.45545959472656,37.287681579589844
9222814,2021,2021-03-18,2406,2021-01-30,1749,296,1,6,5,5,2406,0,0,0,,0,010,"M ST","OLIVE AV",250.00,N,N,A,-,N,,,,,,,,,,Y,4,0,3,3,A,-,01,23152,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.47842407226562,37.319904327392578
9222830,2021,2021-03-17,2406,2021-01-12,1819,162,1,2,5,5,2406,0,0,0,,0,011,"EL REDONDO","SAN AUGUSTINE",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,F,B,C,A,A,H,-,C,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.49815368652344,37.329364776611328
9281271,2021,2021-08-16,2405,2021-03-31,1338,PD19,3,3,5,3,2405,0,0,0,,0,0B3,"S MERCEY SPRINGS RD","DE ANZA WY",80.00,N,N,A,-,Y,MER,10,165,-,-,8.450,H,-,S,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.049308776855469,-120.83548736572266,MERCED,"LOS BANOS",-120.83546447753906,37.052150726318359
9356327,2021,2021-11-06,2406,2021-10-06,1300,129,NORTH,3,5,5,2406,0,0,0,,0,010,"PARK AV","COLLEGE GREEN",0.00,,Y,B,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.47305297851562,37.318149566650391
9413860,2021,2022-03-14,2405,2021-08-05,1444,PD49,3,4,5,3,2405,0,0,0,,0,0B3,"E PACHECO BL","E PACHECO BL 1000",0.00,,N,A,-,Y,MER,10,152,-,-,20.970,H,-,E,N,3,0,1,1,A,-,03,22350,,N,H,A,A,A,D,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",37.566699981689453,-120.84081268310547,MERCED,"LOS BANOS",-120.84078216552734,37.056915283203125
91477720,2021,2021-05-27,9461,2021-05-10,0008,021854,,1,3,9,2400,0,1,1,,2,205,"I-5 S/B","CANYON RD.",30.00,N,N,A,-,Y,,,5,,,,,,S,Y,2,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,Y,A,08,1,1,0,0,0,0,0,0,0,"- ","- ",36.992321014404297,-120.90863800048828,MERCED,UNINCORPORATED,-120.90865325927734,36.9923095703125
91518362,2021,2021-07-12,9461,2021-07-03,1340,021854,,6,1,9,2400,0,1,3,,1,153,"SR-152 W/B","DINOSAUR POINT RD.",2112.00,E,N,A,-,Y,,,152,,,,,,W,N,4,0,2,2,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,M,47,0,0,2,0,0,0,0,0,0,"- ","- ",37.068939208984375,-121.21256256103516,MERCED,UNINCORPORATED,-121.21253967285156,37.068920135498047
91634494,2021,2021-11-24,9460,2021-11-19,0740,015398,,5,1,9,2400,0,3,5,,2,010,"SHANKS RD.","LANCASTER ST.",134.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.425800323486328,-120.78614044189453,MERCED,UNINCORPORATED,-120.78618621826172,37.425746917724609
9222060,2021,2021-03-12,2401,2021-02-13,1800,721,3,6,5,3,2401,0,0,0,,0,003,"E BROADWAY AV","STATION DR",162.00,E,N,B,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,M,E,I,A,A,H,-,C,D,0,,,,,Y,Y,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.336021423339844,-120.58049011230469,MERCED,ATWATER,-120.58052062988281,37.335689544677734
9253720,2021,2021-04-30,2406,2021-03-24,1659,298,3,3,5,5,2406,0,0,0,,0,030,"G ST","RANCHO CAMINO DR",146.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.48338317871094,37.276241302490234
9320352,2021,2023-06-17,2406,2021-08-16,0056,256,2,1,5,5,2406,0,0,0,,0,020,"EAST CHILDS AV","WATERTOWN DR",58.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.44552612304688,37.287818908691406
9370721,2021,2021-12-29,2401,2021-11-13,1635,733,4,6,5,3,2401,0,0,0,,0,004,"COMMERCE AV","INDUSTRY WY",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,B,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",37.340301513671875,-120.60938262939453,MERCED,ATWATER,-120.60295867919922,37.340476989746094
9377376,2021,2021-12-29,2404,2021-07-29,0749,X7,,4,5,3,2404,0,0,0,,0,,"WINTON PKWY","RT 99",0.00,,Y,A,-,Y,MER,10,99,-,R,30.609,R,4,N,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,71,0,1,0,0,0,0,0,0,0,"- ",NF,37.390071868896484,-120.73473358154297,MERCED,LIVINGSTON,-120.73910522460938,37.393131256103516
91387518,2021,2021-01-14,9460,2021-01-06,1010,019286,,3,1,3,2401,0,1,3,,2,002,"SR-99 N/B","WEST ATWATER BOULEVARD",252.00,N,N,B,-,Y,,,99,,,,,,N,Y,4,0,2,5,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",37.352989196777344,-120.62577056884766,MERCED,ATWATER,-120.62576293945312,37.352996826171875
91475332,2021,2021-05-18,9460,2021-05-08,1545,020822,,6,2,9,2400,0,1,3,,2,001,"SR-99 N/B","SOUTH AVE",1584.00,S,N,A,-,Y,,,99,,,,,,N,Y,3,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",37.422748565673828,-120.76651000976562,MERCED,UNINCORPORATED,-120.76650238037109,37.422760009765625
91648677,2021,2021-12-10,9460,2021-11-28,1724,021320,,7,2,9,2400,0,1,3,,2,003,SR-99,"LE GRAND ROAD",2640.00,N,N,A,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,F,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.229759216308594,-120.38229370117188,MERCED,UNINCORPORATED,-120.38273620605469,37.229602813720703
9227801,2021,2021-04-20,2406,2021-03-03,1322,299,1,3,5,5,2406,0,0,0,,0,010,"PAUSON RD","EAST YOSEMITE AV",26.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.4599609375,37.332210540771484
9320685,2021,2022-05-05,2406,2021-11-27,0048,283,1,6,5,5,2406,0,0,0,,0,011,"W N BEAR CREEK DR","PIRA DR",590.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,F,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.4918212890625,37.314884185791016
9413589,2021,2022-03-18,2405,2021-08-31,1531,PD133,3,2,5,3,2405,0,0,0,,0,0B3,"RT 152","BADGER FLAT RD",725.00,W,N,A,-,Y,MER,10,152,-,-,18.740,H,-,E,N,3,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.053939819335938,-120.87890625,MERCED,"LOS BANOS",-120.88087463378906,37.056743621826172
91489877,2021,2021-06-04,9460,2021-05-27,1741,018922,,4,2,9,2400,0,1,3,,2,003,"SR-99 N/B","MISSION AVENUE",6864.00,S,N,A,-,Y,,,99,,,,,,N,Y,4,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.259868621826172,-120.4215087890625,MERCED,UNINCORPORATED,-120.42171478271484,37.259662628173828
91529713,2021,2021-07-27,9461,2021-07-24,1236,021280,,6,1,9,2400,0,1,1,,2,205,"I-5 S/B","BILLY WRIGHT RD.",1056.00,S,N,A,-,Y,,,5,,,,,,S,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.026168823242188,-120.94045257568359,MERCED,UNINCORPORATED,-120.94046783447266,37.026149749755859
9242015,2021,2021-04-22,2406,2021-03-25,1451,129,CENTR,4,5,5,2406,0,0,0,,0,021,"R ST","WEST 21ST ST",33.00,S,N,B,-,N,,,,,,,,,,N,4,0,1,3,A,-,03,22350,,N,C,D,A,A,H,-,A,A,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.49017333984375,37.308666229248047
9386348,2021,2022-01-14,2406,2021-12-17,0706,268,1,5,5,5,2406,0,0,0,,0,011,"BUENA VISTA DR","LAGO CT",195.00,W,N,B,-,N,,,,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,D,22,1,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.4930419921875,37.327133178710938
91592854,2021,2021-10-11,9460,2021-09-30,1330,018292,,4,1,9,2400,0,3,5,,2,100,"KELLEY RD.","RIVER RD.",4752.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,A,H,A,D,0,,,,Y,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.361419677734375,-120.95722961425781,MERCED,UNINCORPORATED,-120.95662689208984,37.361732482910156
91630793,2021,2021-11-19,9460,2021-10-29,2148,021468,,5,2,9,2400,0,2,4,,1,042,"SANTA FE DR","CALIFORNIA ST",2.00,W,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.383148193359375,-120.60932159423828,MERCED,UNINCORPORATED,-120.60901641845703,37.382991790771484
91653883,2021,2021-12-16,9461,2021-12-11,2245,021536,,6,3,9,2400,0,1,3,,1,503,"N/B SR-33","ARROYO CANAL",332.00,S,N,A,-,Y,,,,,,,,,,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",37.635078430175781,-120.63559722900391,MERCED,UNINCORPORATED,-120.67172241210938,37.054088592529297
9287452,2021,2021-07-22,2406,2021-06-23,0842,256,2,3,5,5,2406,0,0,0,,0,020,"RT 140","SANTA FE AV",0.00,,Y,A,-,Y,MER,10,140,-,-,37.400,I,5,W,Y,4,0,2,2,A,-,09,21453,C,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.43902587890625,37.295116424560547
9299420,2021,2021-09-01,2401,2021-07-04,1607,710,4,7,5,3,2401,0,0,0,,0,004,"HERMAN ST",OLIVE,0.00,,Y,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",37.351249694824219,-120.61952209472656,MERCED,ATWATER,-120.61949920654297,37.351242065429688
9476137,2021,2022-07-26,2405,2021-11-17,0952,PD49,2,3,5,3,2405,0,0,0,,0,0B2,"F ST","7TH ST",9.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",37.063270568847656,-120.8443603515625,MERCED,"LOS BANOS",-120.84439849853516,37.063262939453125
91439182,2021,2021-03-30,9460,2021-03-27,1005,018422,,6,1,9,2400,0,1,3,,1,143,SR-140,"WATT ST.",0.00,,Y,A,-,Y,,,140,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",37.295890808105469,-120.31951904296875,MERCED,UNINCORPORATED,-120.31953430175781,37.295928955078125
91459348,2021,2021-04-27,9461,2021-04-18,0805,014933,,7,1,9,2400,0,1,3,,1,465,SR-165,"CORRAL RD.",45.00,S,N,A,-,Y,,,165,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.215618133544922,-120.85160827636719,MERCED,UNINCORPORATED,-120.85153198242188,37.215663909912109
91482041,2021,2021-05-27,9460,2021-05-16,1436,019005,,7,2,9,2400,0,2,4,,1,101,"GRIFFITH AVE","WESTSIDE BLVD.",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.360431671142578,-120.81414794921875,MERCED,UNINCORPORATED,-120.81419372558594,37.360431671142578
91601113,2021,2021-10-20,9460,2021-10-14,0330,021468,,4,3,9,2400,0,1,3,,1,165,SR-165,"WESTSIDE BLVD",2640.00,S,N,A,-,Y,,,165,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.352500915527344,-120.85030364990234,MERCED,UNINCORPORATED,-120.85035705566406,37.352504730224609
91671207,2021,2022-01-05,9460,2021-12-31,2020,021407,,5,2,9,2400,0,3,5,,2,020,"SANTA FE DRIVE","CORTEZ AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,A,0,,,,,Y,Y,A,01,0,2,1,0,0,0,0,0,0,"- ","- ",37.475040435791016,-120.7398681640625,MERCED,UNINCORPORATED,-120.73964691162109,37.474929809570312
9169786,2021,2022-07-01,2405,2021-10-31,0159,PD146,3,7,5,3,2405,0,0,0,,0,0B3,"E PACHECO BL","WARD RD",101.00,E,N,A,-,Y,MER,10,152,-,-,22.280,H,-,E,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.056270599365234,-120.81704711914062,MERCED,"LOS BANOS",-120.81732177734375,37.056774139404297
9327426,2021,2021-11-03,2406,2021-09-15,1521,256,2,3,5,5,2406,0,0,0,,0,020,"PARSONS AV","EAST CHILDS AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.45159912109375,37.287864685058594
9414405,2021,2022-03-28,2404,2021-11-12,1421,X7,,5,5,3,2404,0,0,0,,0,,"WALNUT AV","EAST AV",32.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,D,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.389541625976562,-120.71565246582031,MERCED,LIVINGSTON,-120.71559143066406,37.389533996582031
91404528,2021,2021-02-08,9461,2021-02-04,1920,021536,,4,2,3,2405,0,1,3,,1,265,"SR-165 N/B","COTTON RD",0.00,,Y,A,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.012950897216797,-120.83686828613281,MERCED,"LOS BANOS",-116.26910400390625,34.129592895507812
