transport type,year,implemented_perc
protected bike lane,,9.05
protected bike lane,2015.0,8.48
unprotected bike lane,,41.57
unprotected bike lane,2015.0,5.42
NEN bike lane,,9.19
NEN bike lane,2015.0,1.03
protected bus lane,,3.66
all bus lanes,,29.01
