COUNTY,CITY,cross_name,cross_x,cross_y,street1,street2,NUMBER_KILLED_last5,NUMBER_INJURED_last5,COUNT_PED_KILLED_last5,COUNT_PED_INJURED_last5,COUNT_BICYCLIST_KILLED_last5,COUNT_BICYCLIST_INJURED_last5,NUMBER_KILLED_last10,NUMBER_INJURED_last10,COUNT_PED_KILLED_last10,COUNT_PED_INJURED_last10,COUNT_BICYCLIST_KILLED_last10,COUNT_BICYCLIST_INJURED_last10
LOS ANGELES,LOS ANGELES,CORBIN AV/ROSCOE BL,-118.56229892342124,34.22034164076939,CORBIN AV,ROSCOE BL,3.0,44.0,0.0,0.0,0.0,0.0,3.0,83.0,0.0,0.0,0.0,3.0
LOS ANGELES,LOS ANGELES,S HOOVER ST/W 76TH ST,-118.28712065927343,33.970750668972656,S HOOVER ST,W 76TH ST,3.0,9.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,LANKERSHIM BL/SAN FERNANDO RD,-118.38782027589286,34.23368978256696,LANKERSHIM BL,SAN FERNANDO RD,3.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
LOS ANGELES,LOS ANGELES,OXNARD ST/VAN NUYS BL,-118.4487378776139,34.1793961494642,OXNARD ST,VAN NUYS BL,2.0,83.0,1.0,0.0,0.0,1.0,2.0,159.0,1.0,0.0,0.0,3.0
LOS ANGELES,LOS ANGELES,VALERIO ST/VAN NUYS BL,-118.44875168440389,34.204830291958984,VALERIO ST,VAN NUYS BL,2.0,27.0,1.0,5.0,1.0,1.0,3.0,47.0,2.0,8.0,1.0,1.0
LOS ANGELES,LOS ANGELES,SATICOY ST/SHOUP AV,-118.61469229857748,34.20828859963216,SATICOY ST,SHOUP AV,2.0,26.0,0.0,1.0,0.0,1.0,2.0,43.0,0.0,3.0,0.0,1.0
LOS ANGELES,LOS ANGELES,54TH ST/NORMANDIE AV,-118.30020949831098,33.99323079212126,54TH ST,NORMANDIE AV,2.0,26.0,1.0,1.0,0.0,0.0,2.0,48.0,1.0,3.0,0.0,1.0
LOS ANGELES,LOS ANGELES,VANOWEN ST/VINELAND AV,-118.37030842493303,34.19394636382394,VANOWEN ST,VINELAND AV,2.0,24.0,0.0,2.0,0.0,1.0,3.0,61.0,0.0,3.0,0.0,2.0
LOS ANGELES,LOS ANGELES,FIGUEROA ST/GAGE AV,-118.28267110806641,33.98238057729004,FIGUEROA ST,GAGE AV,2.0,22.0,0.0,1.0,0.0,1.0,2.0,49.0,0.0,5.0,0.0,2.0
LOS ANGELES,LOS ANGELES,ARLINGTON AV/EXPOSITION BL,-118.3177510006836,34.018872139810185,ARLINGTON AV,EXPOSITION BL,2.0,22.0,0.0,5.0,0.0,0.0,2.0,40.0,0.0,6.0,0.0,1.0
LOS ANGELES,LOS ANGELES,CENTURY BL/FIGUEROA ST,-118.28265056143185,33.94554017261045,CENTURY BL,FIGUEROA ST,2.0,19.0,1.0,2.0,0.0,4.0,2.0,44.0,1.0,4.0,0.0,4.0
LOS ANGELES,LOS ANGELES,AVALON BL/LOMITA BL,-118.26393957566081,33.799161473088105,AVALON BL,LOMITA BL,2.0,15.0,0.0,3.0,0.0,0.0,2.0,27.0,0.0,3.0,0.0,2.0
LOS ANGELES,LOS ANGELES,DE SOTO AV/PLUMMER ST,-118.58856815444554,34.24272190047526,DE SOTO AV,PLUMMER ST,2.0,14.0,0.0,3.0,0.0,0.0,2.0,26.0,0.0,3.0,0.0,2.0
