parameter,radius,impl_to_total,unimpl_to_total,imp_permile,unimpl_permile
NUMBER_KILLED,15,0.06,0.65,0.16,0.07
NUMBER_INJURED,15,0.05,0.68,3.22,1.63
COUNT_SEVERE_INJ,15,0.05,0.71,0.78,0.39
NUMBER_KILLED,20,0.06,0.66,0.17,0.07
NUMBER_INJURED,20,0.05,0.69,3.25,1.65
COUNT_SEVERE_INJ,20,0.05,0.72,0.78,0.39
